Year,Branch Code,Seat_Intake
2020,100219110,60
2020,100224210,60
2020,100224610,60
2020,100229310,60
2020,100237210,60
2020,100246610,30
2020,100261210,60
2020,200819110,60
2020,200824210,60
2020,200824610,60
2020,200829310,60
2020,200837210,60
2020,200861210,60
2020,202019110,60
2020,202024210,120
2020,202024610,60
2020,202029310,30
2020,202037210,120
2020,202046610,40
2020,202050710,30
2020,202060610,60
2020,202061210,60
2020,202089610,30
2020,301219110,60
2020,301224510,60
2020,301224610,60
2020,301229310,60
2020,301237210,60
2020,301237610,60
2020,301260610,60
2020,301261210,60
2020,301289610,60
2020,301419110,60
2020,301429310,60
2020,301461210,60
2020,303650710,75
2020,303651110,18
2020,303651210,16
2020,303651310,18
2020,303651410,34
2020,303651910,16
2020,303653410,16
2020,303672910,16
2020,317619110,120
2020,317624510,180
2020,317624610,120
2020,317625310,30
2020,317637210,120
2020,317637610,60
2020,317661210,120
2020,317692110,60
2020,317699510,60
2020,319924510,120
2020,319924610,120
2020,319937210,120
2020,319937610,60
2020,319950710,60
2020,319961210,120
2020,319991210,60
2020,321524510,60
2020,321524610,60
2020,321537210,60
2020,321537610,60
2020,411519110,30
2020,411519120,30
2020,411524210,60
2020,411524220,60
2020,411524610,60
2020,411529310,60
2020,411537010,60
2020,411537020,60
2020,411537610,60
2020,411537620,60
2020,411546110,30
2020,411558910,60
2020,411561210,60
2020,411591010,60
2020,411591110,60
2020,411591210,60
2020,411619110,120
2020,411624210,180
2020,411624610,180
2020,411629310,60
2020,411637210,60
2020,411637610,60
2020,411661210,120
2020,411691710,60
2020,411699710,120
2020,413819110,60
2020,413824210,60
2020,413824610,60
2020,413829310,60
2020,413837210,60
2020,413861210,120
2020,413899710,60
2020,414219110,120
2020,414224210,120
2020,414229310,60
2020,414237210,60
2020,414261210,60
2020,414291710,60
2020,414299710,120
2020,416719110,180
2020,416724210,120
2020,416724610,120
2020,416725110,120
2020,416735610,180
2020,416737210,180
2020,416737610,120
2020,416761210,180
2020,500419110,60
2020,500424510,60
2020,500429310,60
2020,500437210,60
2020,500446610,60
2020,500461210,60
2020,515219110,60
2020,515224210,60
2020,515224610,30
2020,515229310,30
2020,515237210,30
2020,515261210,60
2020,515291710,60
2020,515299710,60
2020,516019110,120
2020,516024510,120
2020,516024610,60
2020,516029310,60
2020,516061210,180
2020,516062410,60
2020,516084410,60
2020,516091510,60
2020,517219110,60
2020,517224510,180
2020,517229310,60
2020,517237210,120
2020,517261210,120
2020,517291210,60
2020,600519110,60
2020,600524610,60
2020,600529310,60
2020,600537210,60
2020,600561210,60
2020,600619110,60
2020,600624510,120
2020,600629310,60
2020,600637210,60
2020,600646410,30
2020,600661210,120
2020,600662710,60
2020,600669410,60
2020,600719110,60
2020,600724210,90
2020,600724610,60
2020,600729310,60
2020,600737610,60
2020,600761210,60
2020,614119110,120
2020,614124510,120
2020,614124610,120
2020,614129310,60
2020,614137210,120
2020,614161210,240
2020,614619110,60
2020,614624510,120
2020,614624610,60
2020,614637210,120
2020,614637610,60
2020,614650710,60
2020,614661210,180
2020,615519110,60
2020,615524510,120
2020,615524610,60
2020,615537210,60
2020,615561210,60
2020,615591710,60
2020,615599710,120
2020,617519110,60
2020,617524510,180
2020,617524520,60
2020,617524610,120
2020,617537210,120
2020,617537220,60
2020,617561210,120
2020,617561220,60
2020,617619110,60
2020,617624510,60
2020,617624610,60
2020,617629310,60
2020,617637210,30
2020,617661210,60
2020,621419110,60
2020,621424510,120
2020,621429310,60
2020,621437210,60
2020,621456810,60
2020,621461210,120
2020,621461610,60
2020,621462410,60
2020,622219110,60
2020,622224210,120
2020,622229310,60
2020,622237210,120
2020,622261210,120
2020,622288610,30
2020,622289010,60
2020,622289510,30
2020,622289610,60
2020,622289810,30
2020,622291310,60
2020,625019110,180
2020,625024210,180
2020,625037210,60
2020,625050710,60
2020,625061210,90
2020,625091110,60
2020,625091210,60
2020,626708210,30
2020,626719110,120
2020,626724210,180
2020,626729310,60
2020,626737210,120
2020,626761210,180
2020,626792210,60
2020,626819110,120
2020,626824210,180
2020,626837210,60
2020,626850710,60
2020,626861210,180
2020,627324510,180
2020,627324520,60
2020,627324610,60
2020,627337210,180
2020,627337220,60
2020,627346410,120
2020,627350710,120
2020,627360610,60
2020,627361210,180
2020,627361220,60
2020,627399510,120
2020,628300210,60
2020,628319110,60
2020,628324210,120
2020,628329310,120
2020,628350310,60
2020,628361210,120
2020,628919110,180
2020,628924510,180
2020,628924520,60
2020,628924610,180
2020,628937210,180
2020,628961210,180
2020,628999510,120
2020,631719110,120
2020,631724210,120
2020,631729310,60
2020,631737210,120
2020,631761210,120
2020,631762410,60
2020,631799510,60
2020,202150310,10
2020,202181610,12
2020,211119110,30
2020,211124210,30
2020,211129310,30
2020,211161210,60
2020,211301110,30
2020,211319110,60
2020,211319120,60
2020,211324210,60
2020,211329310,60
2020,211337210,60
2020,211350110,60
2020,211361210,120
2020,213719110,90
2020,213724210,30
2020,213729710,30
2020,213761210,60
2020,214135610,60
2020,214137210,30
2020,214161210,60
2020,214619110,30
2020,214629710,30
2020,214661210,30
2020,251619110,30
2020,251624210,45
2020,251629710,30
2020,251661210,90
2020,101219110,60
2020,101224510,60
2020,101229310,60
2020,101237210,60
2020,101261210,60
2020,211219110,120
2020,211224210,60
2020,211229310,60
2020,211237210,60
2020,211261210,120
2020,211419110,120
2020,211424210,120
2020,211437210,120
2020,211461210,120
2020,211491110,60
2020,211619110,60
2020,211624210,60
2020,211629310,60
2020,211629710,30
